hip	simbad_id	ra_deg	dec_deg	v_mag
34	HD 224758	0.099583	26.918108	6.434
43	HD 224784	0.128698	59.559681	6.177
63	V* CG And	0.181810	45.253335	6.347
88	* tau Phe	0.269095	-48.809874	5.698
106	HD 224870	0.330214	49.981557	6.217
107	HD 224865	0.333830	-50.337370	5.524
122	* tet Oct	0.398748	-77.065725	4.783
124	HD 224893	0.404233	61.222800	5.567
128	HD 224890	0.414410	73.611846	6.492
137	HD 224906	0.432705	42.367143	6.24
145	*  29 Psc	0.456034	-3.027503	5.1
154	*  30 Psc	0.490081	-6.014071	4.41
171	*  85 Peg	0.543120	27.081833	5.75
183	* zet Scl	0.583029	-29.720441	5.022
186	*  31 Psc	0.600695	8.956825	6.325
194	* c Psc	0.623759	8.485464	5.69
207	HD 225009	0.650386	66.098963	5.842
238	HD 225045	0.739534	-20.045883	6.238
253	HD 225069	0.782725	-24.145145	6.443
274	HD 225094	0.857148	63.640517	6.22
301	*   2 Cet	0.934949	-17.335991	4.536
302	V* V398 Cep	0.965171	66.712186	6.323
330	*   9 Cas	1.056927	62.287664	5.884
343	HD 225197	1.082462	-16.529037	5.769
345	HD 225200	1.084655	-29.268822	6.39
355	*   3 Cet	1.125495	-10.509522	4.924
365	HD 225218	1.152435	42.092524	6.14
377	HD 225253	1.172116	-71.436890	5.585
379	HD 225216	1.174922	67.166445	5.676
394	HD 225239	1.223853	34.659667	6.11
399	HD 225276	1.233329	26.648771	6.25
410	HD 225292	1.254934	27.674791	6.462
417	HD      6	1.265928	-0.503036	6.298
418	V* V567 Cas	1.275629	61.313970	5.791
443	*  33 Psc	1.333922	-5.707620	4.61
476	*  86 Peg	1.424840	13.396268	5.537
522	HD    142	1.579897	-49.075186	5.76
531	*  10 Cas	1.610572	64.196158	5.59
544	HD    166	1.653267	29.021504	6.07
560	HD    203	1.708693	-23.107540	6.173
602	HD    256	1.826108	-17.386993	6.203
635	*   4 Cet	1.933797	-2.548680	6.43
636	HD    319	1.945415	-22.508557	5.923
655	HD    344	2.014529	-33.529325	5.662
664	*   5 Cet	2.050398	-2.447706	6.22
671	HD    360	2.073052	-8.824112	5.98
677	* alf And	2.096916	29.090431	2.06
695	HD    371	2.136910	63.204033	6.42
696	V* CF Cet	2.139571	-17.578155	6.13
716	HD    417	2.217233	25.462985	6.246
728	HD    434	2.250670	28.247542	6.47
729	*  87 Peg	2.260103	18.211965	5.555
730	HD    469	2.259971	-54.001955	6.33
746	* bet Cas	2.294522	59.149781	2.27
765	* eps Phe	2.352667	-45.747424	3.87
798	HD    565	2.467151	-62.296794	6.33
813	*  34 Psc	2.509179	11.145816	5.53
814	* gam03 Oct	2.509052	-82.224047	5.283
840	HD    587	2.578630	-5.248588	5.844
841	*  22 And	2.580194	46.072271	5.04
873	HD    645	2.678475	-12.579898	5.849
910	*   6 Cet	2.816075	-15.467978	4.89
930	* kap02 Scl	2.893420	-27.799720	5.404
950	* tet Scl	2.933421	-35.133115	5.239
967	HD    743	2.996188	48.152398	6.162
983	HD    787	3.041602	-17.938251	5.265
1057	HD    874	3.289593	16.921457	6.5
1067	* gam Peg	3.308968	15.183598	2.84
1074	HD   1032	3.331758	-84.993977	5.77
1076	HD    895	3.349672	26.987546	6.277
1096	HD    942	3.426017	-26.022351	5.937
1099	HD    943	3.434912	-26.284963	6.119
1123	HD    952	3.509495	33.206041	6.25
1144	HD   1002	3.584125	-27.531395	6.46
1158	V* AD Cet	3.615128	-7.780529	5.12
1168	* chi Peg	3.650685	20.206703	4.8
1170	*   7 Cet	3.660070	-18.932863	4.46
1191	HD   1064	3.727148	-9.569563	5.749
1193	HD   1048	3.732910	22.284226	6.234
1195	HD   1089	3.742757	-34.904223	6.159
1196	*  35 Psc	3.745168	8.820961	6.01
1208	HD   1075	3.778961	31.535726	6.34
1215	HD   1083	3.794020	27.283441	6.342
1236	V* S Scl	3.842775	-32.045269	6.2
1269	HD   1142	3.978522	61.000176	6.432
1288	HD   1187	4.036945	-31.446391	5.642
1302	HD   1185	4.089704	43.595051	6.15
1319	*  36 Psc	4.141841	8.240157	6.121
1331	HD   1256	4.176426	-20.210061	6.491
1339	HD   1255	4.190326	10.244781	6.49
1354	HD   1239	4.237680	61.533186	5.737
1366	* tet And	4.272927	38.681636	4.61
1372	HD   1279	4.287683	47.947406	5.852
1402	HD   1343	4.386263	-19.051094	6.446
1415	V* AO Cas	4.429430	51.433088	6.14
1421	HD   1367	4.448744	1.688730	6.176
1444	HD   1388	4.495286	-13.455641	6.5
1465	HD   1419	4.571858	11.206215	6.045
1473	* sig And	4.581906	36.785225	4.52
1493	HD   1439	4.659409	31.517228	5.875
1499	HD   1461	4.674449	-8.053001	6.46
1501	*  26 And	4.675704	43.791141	6.11
1502	HD   1483	4.677337	-43.235569	6.328
1562	* iot Cet	4.856977	-8.823919	3.55
1575	HD   1527	4.923164	40.729465	6.34
1599	* zet Tuc	5.017744	-64.874794	4.23
1630	HD   1606	5.101672	30.935614	5.869
1639	HD   1601	5.128871	48.968633	6.47
1645	* d Psc	5.149425	8.190272	5.37
1647	* pi. Tuc	5.162676	-69.624919	5.499
1657	HD   1632	5.189654	32.911187	5.794
1686	* rho And	5.280286	37.968605	5.18
1706	HD   1801	5.369884	-77.426882	5.959
1708	* iot Scl	5.379993	-28.981470	5.167
1728	V* T Cet	5.442803	-20.058025	5.74
1772	*  42 Psc	5.606179	13.482488	6.24
1803	*   9 Cet	5.715785	-12.209436	6.39
1821	HD   1879	5.768296	-15.942531	6.425
1902	NGC   104	6.022329	-72.081444	4.09
1921	HD   1976	6.065225	52.019918	5.58
1939	HD   2023	6.123540	-2.219063	6.067
1948	*  43 Psc	6.158980	14.315517	6.46
1960	*  12 Cas	6.197939	61.831058	5.377
1982	HD   2054	6.276710	53.046782	5.719
2006	*  44 Psc	6.350868	1.939692	5.77
2021	* bet Hyi	6.437793	-77.254246	2.79
2072	* kap Phe	6.550839	-43.679831	3.94
2081	* alf Phe	6.571048	-42.305987	2.38
2086	HD   2268	6.590630	-18.693632	6.266
2100	*  10 Cet	6.655878	-0.049522	6.192
2159	HD   2363	6.811282	-25.547173	5.969
2178	HD   2358	6.879455	16.025483	6.432
2210	* eta Scl	6.982074	-33.007166	4.81
2213	*  46 Psc	6.993609	19.514038	6.38
2219	*  47 Psc	7.012145	17.893127	5.06
2224	*  48 Psc	7.052929	16.445068	6.039
2225	HD   2421	7.056956	44.394469	5.173
2237	HD   2475	7.087898	-20.335049	6.44
2240	HD   2490	7.110505	-39.914999	5.415
2256	HD   2529	7.179693	-50.532857	6.265
2270	HD   2507	7.236096	36.899693	6.273
2337	HD   2630	7.466238	-14.864109	6.131
2353	*  12 Cet	7.509827	-3.957327	5.72
2355	*  28 And	7.530688	29.751558	5.214
2358	HD   2648	7.536189	4.860111	6.5
2377	HD   2626	7.583060	59.977553	5.94
2381	HD   2696	7.594396	-23.787682	5.19
2383	HD   2726	7.608597	-48.214821	5.664
2388	V* BB Phe	7.615938	-40.939584	6.172
2472	* lam01 Phe	7.854088	-48.803514	4.77
2474	*  13 Cas	7.855121	66.519617	6.165
2475	HD   2767	7.856824	33.581637	5.878
2484	* bet01 Tuc	7.886117	-62.958217	4.289
2487	* bet02 Tuc	7.889260	-62.965593	4.514
2497	HD   2774	7.921488	52.839528	5.596
2548	*  51 Psc	8.099079	6.955485	5.679
2568	*  52 Psc	8.147853	20.294318	5.37
2578	* bet03 Tuc	8.182939	-63.031501	5.09
2583	HD   2942	8.204525	28.280241	6.33
2599	* kap Cas	8.249966	62.931781	4.16
2611	HD   2952	8.293310	54.894986	5.922
2628	HD   2904	8.330274	70.981855	6.38
2629	* tet Tuc	8.347330	-71.266245	6.109
2661	HD   3059	8.421006	-29.558278	5.541
2663	HD   3074	8.432528	-35.002076	6.4
2707	*  16 Cas	8.603830	66.750338	6.473
2711	HD   3158	8.615965	-52.373092	5.57
2734	HD   3166	8.730680	13.371140	6.39
2762	*  13 Cet	8.811999	-3.592844	5.21
2787	*  14 Cet	8.886806	-0.505611	5.936
2789	HD   3303	8.888912	-54.821872	6.052
2802	* lam02 Phe	8.921564	-48.000907	5.51
2846	HD   3325	9.013151	-14.973034	6.444
2852	V* BG Cet	9.028571	-22.842335	6.06
2854	HD   3240	9.034626	54.168450	5.076
2876	HD   3283	9.113936	60.326213	5.792
2889	HD   3444	9.156876	-65.124446	6.413
2900	V* V428 And	9.193504	44.488589	5.129
2903	*  53 Psc	9.197129	15.231720	5.863
2912	* pi. And	9.220214	33.719343	4.36
2920	* zet Cas	9.242852	53.896910	3.66
2926	HD   3411	9.279957	24.014139	6.16
2937	HD   3488	9.326027	-54.393819	6.403
2942	HD   3421	9.338416	35.399503	5.431
2954	HD   3457	9.377048	3.135352	6.407
3031	* eps And	9.638948	29.311753	4.38
3056	HD   3605	9.703263	-25.107817	6.41
3083	HD   3574	9.791225	49.354588	5.419
3092	* del And	9.831680	30.860984	3.28
3093	*  54 Psc	9.840856	21.250476	5.88
3132	HD   3440	9.946876	82.493763	6.389
3137	HD   3750	9.966459	-44.796292	5.998
3138	*  55 Psc	9.981548	21.438497	5.428
3170	HD   3823	10.106958	-59.454602	5.9
3175	HD   3794	10.119098	-16.516662	6.49
3179	* alf Cas	10.126846	56.537329	2.23
3185	HD   3795	10.136642	-23.804925	6.14
3193	HD   3807	10.176548	-4.351840	5.885
3231	*  32 And	10.279936	39.458664	5.33
3245	* mu. Phe	10.331547	-46.084981	4.59
3269	HD   3883	10.400157	24.629014	6.046
3277	* ksi Phe	10.443322	-56.501316	5.7
3299	HD   3856	10.514253	66.147593	5.821
3300	* ksi Cas	10.516218	50.512533	4.81
3330	* rho Tuc	10.618216	-65.468030	5.381
3334	HD   3924	10.629343	58.753414	6.171
3352	HD   4088	10.674791	-60.262807	5.98
3405	* eta Phe	10.838376	-57.463063	4.361
3414	* pi. Cas	10.866957	47.024546	4.949
3419	* bet Cet	10.897379	-17.986606	2.01
3436	HD   4145	10.958689	-12.011826	6.02
3455	* phi01 Cet	11.047500	-10.609551	4.767
3456	* lam02 Scl	11.050413	-38.421682	5.96
3478	*  68 Cas	11.109131	47.863984	5.648
3504	* omi Cas	11.181328	48.284370	4.5
3505	HD   4247	11.184984	-22.006133	5.22
3521	HD   4293	11.237719	-42.676559	5.926
3527	HD   4304	11.249757	-53.714893	6.15
3544	HD   4222	11.321557	55.221397	5.41
3552	HD   4301	11.350521	-4.629160	6.16
3559	*  18 Cet	11.369531	-12.880809	6.15
3572	*  21 Cas	11.412819	74.988071	5.652
3576	HD   4338	11.423781	-16.424218	6.499
3583	HD   4391	11.439971	-47.551984	5.794
3604	HD   4335	11.545050	44.861500	6.024
3607	HD   4398	11.548983	-22.522103	5.5
3632	*  57 Psc	11.637299	15.475509	5.38
3649	HD   4362	11.676910	59.574541	6.41
3675	*  58 Psc	11.756067	11.973852	5.504
3685	*  59 Psc	11.806776	19.578706	6.101
3693	* zet And	11.834690	24.267179	4.06
3697	*  60 Psc	11.848474	6.740972	5.961
3717	HD   4585	11.930088	-18.061338	5.693
3721	*  23 Cas	11.941891	74.847570	5.413
3741	HD   4622	12.004438	-21.722526	5.57
3750	HD   4440	12.037928	72.674497	5.855
3760	*  62 Psc	12.072541	7.299930	5.912
3765	HD   4628	12.095733	5.280614	5.74
3781	* lam Hyi	12.147571	-74.923435	5.083
3786	* del Psc	12.170601	7.585082	4.44
3801	* nu. Cas	12.208423	50.968165	4.891
3807	HD   4737	12.236365	-46.697645	6.277
3821	* eta Cas	12.276227	57.815177	3.44
3834	HD   4732	12.308126	-24.136664	5.9
3849	HD   4730	12.356737	-13.561271	5.594
3858	HD   4772	12.389295	-23.362141	6.3
3881	* nu. And	12.453526	41.078911	4.53
3903	V* AZ Phe	12.515702	-43.394967	6.476
3909	* phi02 Cet	12.531621	-10.644329	5.19
3919	V* GO And	12.576105	45.002260	6.15
3949	* rho Phe	12.671610	-50.986817	5.225
3951	HD   4775	12.681657	64.247569	5.362
3965	V* V526 Cas	12.739148	51.508034	6.36
3988	HD   4817	12.818263	61.805494	6.18
3992	HD   4928	12.826350	3.385025	6.368
4023	HD   4881	12.890794	51.571424	6.22
4084	* lam01 Tuc	13.102164	-69.503761	6.22
4104	HD   5098	13.169269	-24.005843	5.48
4147	*  20 Cet	13.252059	-1.144260	4.76
4151	HD   5015	13.267485	61.123972	4.8
4185	HD   5118	13.367595	37.418203	6.057
4200	V* BQ Tuc	13.407824	-62.871360	5.748
4212	HD   5128	13.448332	52.689294	6.31
4257	*  21 Cet	13.573303	-8.740664	6.161
4267	*  66 Psc	13.646761	19.188422	5.79
4283	HD   4853	13.721417	83.707410	5.59
4288	*  36 And	13.742109	23.628328	5.45
4292	* ups01 Cas	13.750649	58.972699	4.82
4293	* lam Tuc	13.751296	-69.527085	5.454
4298	HD   5273	13.771685	48.678523	6.31
4317	HD   5316	13.811139	24.557064	6.24
4346	HD   5384	13.926667	-7.347149	5.85
4363	HD   5445	13.981405	-27.775840	6.13
4366	* k Psc	13.993791	27.209382	6.1
4371	* phi03 Cet	14.006207	-11.266526	5.326
4382	HD   5418	14.037999	13.951959	6.44
4383	HD   5343	14.054050	57.996558	6.19
4422	* ups02 Cas	14.166271	59.181057	4.622
4427	* gam Cas	14.177213	60.716740	2.39
4436	* mu. And	14.188371	38.499334	3.87
4440	HD   5408	14.195715	60.362839	5.566
4446	HD   5357	14.229720	68.775638	6.386
4463	* eta And	14.301668	23.417650	4.42
4475	HD   5459	14.331694	61.421895	6.437
4501	HD   5526	14.415187	45.839380	6.086
4510	* h Psc	14.458967	28.992214	5.438
4520	HD   5612	14.477129	13.695862	6.283
4552	HD   5608	14.559246	33.950884	5.98
4558	HD   5641	14.578713	21.404494	6.46
4563	HD   5771	14.592623	-60.696239	6.235
4572	HD   5550	14.629425	66.351794	5.97
4577	* alf Scl	14.651497	-29.357453	4.27
4587	* phi04 Cet	14.682784	-11.379975	5.614
4655	V* WW Psc	14.957030	6.483226	6.14
4675	HD   5789	15.014824	44.713248	6.05
4709	HD   5715	15.129182	70.982990	6.4
4770	* ksi Scl	15.326148	-38.916528	5.582
4786	HD   5927	15.362686	49.544221	6.48
4801	HD   6037	15.411019	-16.265572	6.47
4829	* ome Phe	15.507585	-57.002387	6.1
4844	HD   6028	15.576957	51.034947	6.49
4852	* sig Scl	15.610129	-31.552014	5.501
4879	V* CC Tuc	15.678779	-65.456102	6.275
4889	* sig Psc	15.704570	31.804262	5.5
4890	HD   6245	15.704957	-46.397309	5.387
4903	*  39 And	15.726061	41.345214	5.932
4906	* eps Psc	15.735868	7.890133	4.28
4914	*  25 Cet	15.760571	-4.836599	5.408
4932	HD   6269	15.823724	-29.525846	6.283
4962	HD   6130	15.904181	61.074823	6.0
4979	*  26 Cet	15.954284	1.366847	6.065
4998	HD   6211	16.009961	52.502162	5.977
5021	HD   6210	16.081046	61.580184	5.833
5034	HD   6301	16.115102	29.658787	6.202
5042	HD   6403	16.135727	-33.532865	6.46
5074	*  73 Psc	16.219325	5.656265	6.007
5081	*  72 Psc	16.272316	14.946135	5.631
5121	*  27 Cet	16.403678	-9.979323	6.088
5131	*  74 Psc A	16.420601	21.473192	5.273
5132	*  74 Psc B	16.423796	21.465448	5.455
5164	*  28 Cet	16.521453	-9.839355	5.565
5165	* bet Phe	16.520998	-46.718411	3.3
5170	HD   6559	16.532142	-23.992484	6.114
5175	*  76 Psc	16.546671	32.181489	6.26
5204	*  75 Psc	16.640111	12.956037	6.144
5240	HD   6497	16.750727	56.934972	6.401
5251	HD   6540	16.789410	53.498185	6.29
5259	HD   6668	16.803851	-23.996335	6.353
5268	* iot Tuc	16.827768	-61.775288	5.342
5296	*  30 Cet	16.942536	-9.785551	5.705
5300	* ups Phe	16.949264	-41.486843	5.207
5310	* psi02 Psc	16.988183	20.739070	5.563
5336	* mu. Cas	17.067929	54.920156	5.17
5346	* e Psc	17.092556	5.649851	5.501
5348	* zet Phe	17.096169	-55.245760	4.014
5361	HD   6676	17.139443	58.263451	5.767
5364	* eta Cet	17.147464	-10.182264	3.45
5372	*   2 UMi	17.186994	86.257091	4.225
5412	HD   6473	17.300774	80.011582	6.23
5434	* phi And	17.375523	47.241794	4.25
5447	* bet And	17.433016	35.620558	2.05
5454	* psi03 Psc	17.455004	19.658407	5.562
5477	HD   7082	17.530721	-57.694390	6.418
5483	HD   6966	17.547673	15.673911	6.043
5485	*  32 Cet	17.549774	-8.906135	6.394
5493	*  44 And	17.578085	42.081475	5.665
5494	HD   6953	17.581042	25.457762	5.797
5510	*  33 Cet	17.639804	2.445674	5.942
5518	*  31 Cas	17.663843	68.778623	5.309
5542	* tet Cas	17.775675	55.149900	4.33
5544	* g Psc	17.778180	31.424729	5.152
5550	*  45 And	17.792821	37.724124	5.786
5566	HD   6960	17.856546	64.202678	5.548
5571	* chi Psc	17.863411	21.034649	4.658
5575	HD   7107	17.870719	10.291908	6.493
5586	* tau Psc	17.915072	30.089638	4.511
5589	*  32 Cas	17.922510	65.018854	5.564
5594	*  34 Cet	17.931284	-2.251078	5.918
5626	HD   6798	18.070068	79.673964	5.6
5650	HD   7158	18.142012	45.337529	6.11
5661	V* AI Scl	18.189302	-37.856478	5.934
5679	HD   7229	18.247811	30.064228	6.23
5737	* zet Psc A	18.432858	7.575360	5.19
5742	* phi Psc	18.437275	24.583698	4.66
5743	* zet Psc B	18.438561	7.578245	6.1
5772	V* DT Psc	18.520438	28.529569	6.347
5778	*  87 Psc	18.531784	16.133476	5.962
5799	*  37 Cet	18.600170	-7.922826	5.13
5824	*  88 Psc	18.676633	6.995138	6.022
5833	*  38 Cet	18.704885	-0.973794	5.69
5862	* nu. Phe	18.796339	-45.531665	4.96
5896	* kap Tuc	18.942038	-68.875945	4.95
5926	HD   7389	19.049591	71.743840	5.86
5928	HD   6319	19.055038	87.145497	6.188
5936	HD   7578	19.078843	33.114719	6.026
5947	HD   7238	19.128670	79.910018	6.261
5951	*  39 Cet	19.151200	-2.500369	5.428
5992	HD   7916	19.265658	-66.397855	6.24
5993	HD   7647	19.271102	44.901992	6.11
6025	HD   7724	19.350467	31.744619	6.36
6061	* f Psc	19.449819	3.614469	5.137
6087	HD   7758	19.542285	47.419706	6.246
6140	HD   7853	19.695874	37.386279	6.497
6193	* ups Psc	19.866640	27.264059	4.748
6226	*  42 Cet	19.951233	-0.509032	5.87
6242	* phi Cas	20.020485	58.231613	4.98
6261	HD   7732	20.080825	77.570686	6.318
6272	HD   8121	20.115866	-11.238997	6.147
6283	HD   8120	20.144050	-3.246992	6.246
6312	*  35 Cas	20.271943	64.658132	6.322
6315	* l Psc	20.280721	28.738207	5.223
6378	HD   7925	20.496262	76.238808	6.38
6411	* ksi And	20.585084	45.528777	4.868
6432	HD   8334	20.653972	1.726333	6.201
6486	HD   8272	20.839249	58.142994	6.35
6492	HD   8388	20.853954	20.468968	5.971
6502	HD   8498	20.878991	-30.945616	5.819
6512	HD   8375	20.906130	34.245865	6.28
6514	*  47 And	20.919235	37.714944	5.587
6522	HD   8065	20.945007	78.726058	6.064
6537	* tet Cet	21.005847	-8.183261	3.59
6539	*  44 Cet	21.010578	-8.007415	6.21
6564	HD   8556	21.085426	-6.914659	5.92
6589	HD   8589	21.166397	-15.660466	6.183
6592	HD   8651	21.169944	-41.492546	5.417
6595	HD   8681	21.174642	-44.528577	6.247
6605	HD   8599	21.202838	-2.848590	6.164
6631	HD   8810	21.272111	-64.369476	5.9
6669	HD   8634	21.398654	23.511517	6.187
6670	*  46 Cet	21.405164	-14.598785	4.907
6685	HD   8424	21.443047	70.979899	6.36
6686	* del Cas	21.453964	60.235284	2.68
6687	HD   8713	21.468188	-3.927389	6.5
6692	* psi Cas	21.483430	68.130014	4.727
6702	HD   8673	21.536610	34.579703	6.34
6706	* rho Psc	21.563593	19.172347	5.344
6711	HD   8671	21.577860	43.457742	5.978
6714	HD   8733	21.598322	20.070807	6.439
6717	HD   8779	21.613945	-0.399032	6.426
6732	*  94 Psc	21.673663	19.240424	5.495
6748	*  47 Cet	21.714853	-13.056511	5.505
6759	V* R Scl	21.742058	-32.543178	5.72
6789	HD   8896	21.847125	-22.338232	6.41
6794	V* V529 And	21.861137	41.101161	6.425
6813	* ome And	21.914086	45.406685	4.83
6822	HD   8921	21.943927	-10.901582	6.21
6867	* gam Phe	22.091370	-43.318235	3.42
6868	HD   8949	22.095482	7.961355	6.214
6952	V* AW Phe	22.377245	-46.756421	6.28
6960	*  48 Cet	22.400565	-21.629336	5.104
6971	HD   9151	22.428403	-25.617756	6.37
6981	*  97 Psc	22.470261	18.355669	6.023
6999	*  49 And	22.525423	47.007273	5.261
7007	* mu. Psc	22.546313	6.143822	4.84
7016	HD   9228	22.595437	-26.207852	5.926
7050	HD   9030	22.717166	66.098088	6.137
7083	* del Phe	22.812934	-49.072703	3.935
7097	* eta Psc	22.870867	15.345832	3.62
7115	HD   9414	22.912525	-45.575715	6.17
7118	HD   9377	22.930227	-30.283098	5.788
7147	HD   9298	23.031575	34.799963	6.373
7189	HD   9544	23.151530	-49.727714	6.26
7213	HD   9525	23.233519	-36.865235	5.493
7243	HD   9496	23.326158	8.208736	6.33
7251	HD   9353	23.357115	58.327347	5.709
7271	HD  10042	23.413213	-78.504820	6.103
7276	HD   9562	23.428482	-7.025344	5.76
7283	HD   5914	23.461292	89.015638	6.47
7294	* chi Cas	23.482839	59.232054	4.681
7321	V* KK And	23.569250	37.237165	5.91
7345	*  49 Cet	23.657411	-15.676361	5.607
7359	HD   9640	23.704438	18.460512	5.903
7361	HD   9742	23.711600	-31.892316	6.11
7362	HD   9690	23.713827	-3.523886	6.43
7363	HD   9731	23.714882	-23.699681	6.4
7387	HD   9896	23.812596	-58.139474	6.01
7436	* 101 Psc	23.943510	14.661421	6.219
7443	HD   9895	23.960693	-39.947124	6.43
7444	HD   9712	23.969066	41.076419	6.386
7450	*  50 Cet	23.995707	-15.400182	5.402
7493	V* OP And	24.113336	48.722778	6.22
7505	V* CY Psc	24.181359	7.831528	6.42
7506	HD  10052	24.186622	-58.270985	6.205
7513	* ups And	24.199340	41.405459	4.1
7535	* pi. Psc	24.274692	12.141783	5.535
7568	HD  11025	24.366819	-84.769617	5.667
7580	HD  10009	24.407109	-9.403822	6.24
7588	* alf Eri	24.428523	-57.236753	0.46
7597	HD  10024	24.466952	-3.440679	6.44
7601	HD  10800	24.481486	-82.974996	5.87
7607	* ups Per	24.498158	48.628212	3.57
7617	HD   9900	24.531527	57.977632	5.536
7643	HD  10142	24.614516	-36.528250	5.939
7650	*  40 Cas	24.628825	73.040038	5.281
7651	V* GY And	24.632606	45.399704	6.38
7679	HD  10148	24.715786	-21.275385	5.58
7719	* chi And	24.837452	44.386175	5.008
7740	* 105 Psc	24.920076	16.405855	5.979
7786	HD  10110	25.054587	53.868278	6.37
7818	* tau And	25.145067	40.577039	4.94
7819	HD  10262	25.145554	8.760789	6.345
7825	HD  10204	25.165239	43.297670	5.629
7874	HD  10308	25.326565	25.745713	6.202
7884	* nu. Psc	25.357892	5.487612	4.44
7886	HD  10481	25.363840	-38.132827	6.183
7906	HD  10348	25.413486	30.047120	5.961
7918	HD  10307	25.446362	42.613395	4.96
7921	HD  10615	25.449867	-60.789337	5.692
7941	HD  10538	25.512474	-36.832304	5.698
7943	HD  10390	25.514540	35.245705	5.64
7955	* pi. Scl	25.535956	-32.326988	5.256
7963	HD  10293	25.573756	58.627737	6.348
7965	*  43 Cas	25.585529	68.043025	5.59
7978	* q01 Eri	25.622144	-53.740831	5.52
7981	* 107 Psc	25.624011	20.268513	5.24
7999	HD  10550	25.681298	-3.690200	4.982
8016	*  42 Cas	25.732764	70.622526	5.174
8020	HD  10362	25.743001	61.421073	6.323
8044	HD  10486	25.818766	45.322649	6.32
8046	*  44 Cas	25.832319	60.551332	5.76
8068	* phi Per	25.915158	50.688731	4.06
8086	HD  10588	25.958928	32.192016	6.3
8094	HD  10658	25.978317	-4.765514	6.19
8102	* tau Cet	26.017013	-15.937480	3.5
8127	HD  10597	26.110528	46.139692	6.31
8148	HD  10587	26.192380	57.089232	6.24
8159	* 109 Psc	26.232606	20.083149	6.279
8198	* omi Psc	26.348438	9.157751	4.26
8209	* eps Scl	26.411529	-25.052615	5.34
8210	V* UZ Psc	26.427218	8.559249	6.43
8230	HD  10824	26.496916	-5.733300	5.34
8233	HD  10863	26.504409	-27.348831	6.385
8240	* 120 Phe	26.524856	-50.816254	5.49
8241	* q02 Eri	26.526096	-53.522036	5.033
8320	HD  11022	26.819597	-41.759924	6.165
8362	HD  10780	26.936810	63.852503	5.63
8366	* tau02 Hyi	26.943529	-80.176309	6.04
8369	HD  11050	26.949035	-37.159484	6.32
8370	HD  10874	26.950060	46.229749	6.317
8387	*   4 Ari	27.045515	16.955516	5.841
8404	HD  11037	27.108414	3.685450	5.904
8423	HD  10975	27.162188	37.952870	5.929
8480	HD  11183	27.330920	-31.072462	6.348
8497	* chi Cet	27.396262	-10.686409	4.68
8514	HD  11262	27.453588	-38.402829	6.37
8544	*   1 Ari	27.535708	22.275336	5.86
8552	HD  11332	27.584090	-47.816391	6.14
8588	*  54 Cet	27.716553	11.043378	5.922
8593	V* BD Phe	27.726813	-50.206137	5.929
8598	HD  11151	27.738034	51.933418	5.951
8641	HD  11421	27.859818	-39.835936	6.43
8645	* zet Cet	27.865131	-10.335031	3.72
8664	HD  11365	27.907501	-6.874140	6.41
8688	HD  11396	27.942079	-15.647481	6.45
8704	*   1 Per	27.997167	55.147384	5.52
8714	*   2 Per	28.039051	50.792793	5.689
8771	HD  11335	28.211356	51.474837	6.3
8778	V* BK Cet	28.217137	-16.929251	5.782
8796	* alf Tri	28.270439	29.578819	3.42
8814	*  55 And	28.322268	40.729790	5.394
8820	HD  11643	28.346553	-38.594632	6.086
8832	* gam Ari	28.382562	19.293855	3.88
8833	* ksi Psc	28.388904	3.187533	4.604
8837	* psi Phe	28.411414	-46.302669	4.41
8847	HD  11408	28.452144	55.597638	6.437
8882	* phi Phe	28.591800	-42.496928	5.109
8886	* eps Cas	28.598892	63.670100	3.37
8903	* bet Ari	28.660046	20.808031	2.65
8922	HD  11613	28.724084	40.701998	6.248
8928	* eta02 Hyi	28.733881	-67.647303	4.685
8930	HD  11624	28.740255	37.128296	6.267
8983	HD  11995	28.943675	-60.860974	6.058
8991	* sig Hyi	28.960621	-78.348546	6.146
8993	*   7 Ari	28.962660	23.577315	5.749
9001	HD  11727	28.977003	37.277790	5.867
9007	* chi Eri	28.989416	-51.608878	3.71
9009	* ome Cas	29.000118	68.685240	4.968
9022	HD  11965	29.039202	-49.836445	6.36
9061	*  56 Cet	29.167511	-22.526785	4.85
9085	HD  12042	29.249936	-51.766246	6.1
9094	HD  11964	29.290031	-10.242426	6.42
9095	HD  12055	29.291998	-47.385280	4.834
9110	* iot Ari	29.337740	17.817556	5.105
9132	HD  11928	29.432267	27.804377	5.85
9149	HD  12270	29.472185	-65.424677	6.357
9153	* lam Ari	29.482153	23.596063	4.766
9163	HD  11884	29.496815	47.095522	6.45
9207	HD  12135	29.611167	-33.066794	6.374
9220	HD  11857	29.638480	61.697790	6.004
9222	*   3 Per	29.639608	49.204353	5.702
9236	* alf Hyi	29.692244	-61.569822	2.84
9237	HD  12116	29.691656	-11.300956	6.46
9295	HD  12140	29.857848	12.294880	6.076
9307	HD  12139	29.898681	21.058569	5.892
9312	HD  11946	29.908490	64.621600	5.278
9313	HD  12296	29.911729	-42.030532	5.563
9318	HD  12477	29.921365	-66.066559	6.078
9326	*  57 Cet	29.942500	-20.824539	5.429
9347	* ups Cet	30.001285	-21.077832	4.02
9372	V* AR Cet	30.111761	-8.523874	5.51
9440	* pi. For	30.311345	-30.001830	5.35
9459	* chi Phe	30.426568	-44.713507	5.14
